106 000 $,1 комната,2304 $ за м²,4 из 19,год постройки2017,кирпичные,46 / 18.4 / 15.2 м²,ул. Скрипника (Николая Островского), 48а,25 июля 2020 г.
49 999 $,1 комната,1157 $ за м²,13 из 22,год постройки2011,утепленная панель,43.2 / 18 / 10 м²,ул. Закревского, 95,16 октября 2020 г.
82 490 $,1 комната,1586 $ за м²,16 из 26,год постройки2013,монолитно-каркасные,52 / 18.5 / 11.6 м²,ул. Драгоманова, 40з,10 июня 2020 г.
48 000 $,1 комната,1200 $ за м²,3 из 10,год постройки1989,кирпичные,40 / 19 / 9 м²,ул. Данькевича, 1/79,вчера в 15:35
44 000 $,1 комната,1222 $ за м²,21 из 28,*** not found,<span>26 октября 2020 г.</span>,36 / - / 8 м²,Харьковское ш.,26 октября 2020 г.
120 000 $,3 комнаты,2182 $ за м²,7 из 9,год постройки1965,*** not found,55 / 18.5 / 24 м²,бульв. Украинки, 3,2 августа 2019 г.
79 530 $,2 комнаты,1105 $ за м²,1 из 18,*** not found,<span>21 августа 2020 г.</span>,72 / 40 / 11 м²,ул. Нагорная,21 августа 2020 г.
250 000 $,5 комнат,1651 $ за м²,9 из 10,год постройки2019,монолитно-каркасные,151.4 / 79 / 30.4 м²,ул. Теремковская, 4а,3 декабря 2020 г.
86 000 $,2 комнаты,1265 $ за м²,7 из 9,год постройки2017,панельные,68 / 30 / 18 м²,ул. Луценко (Крейсера Аврора), 6,24 ноября 2020 г.
158 000 $,3 комнаты,1736 $ за м²,17 из 22,год постройки2018,монолитно-каркасные,91 / - / 10 м²,ул. Липковского (Урицкого), 16а,18 сентября 2020 г.
68 000 $,2 комнаты,1062 $ за м²,1 из 9,год постройки2001,*** not found,64 / 28 / 15 м²,ул. Братиславская, 7а,19 октября 2020 г.
110 000 $,2 комнаты,2200 $ за м²,3 из 3,год постройки2013,монолитно-каркасные,50 / 32.1 / 10 м²,просп. Героев Сталинграда, 2д,27 мая 2020 г.
107 000 $,3 комнаты,1138 $ за м²,12 из 22,год постройки2004,утепленная панель,94 / 47 / 14 м²,просп. Гонгадзе (Радянской Украины), 18е,30 декабря 2020 г.
81 000 $,2 комнаты,1306 $ за м²,5 из 26,*** not found,<span>13 января</span>,62 / 26 / 17 м²,Днепровская наб.,13 января
76 000 $,1 комната,1188 $ за м²,12 из 25,год постройки2008,монолитно-каркасные,64 / 22 / 20 м²,просп. Науки, 69,28 августа 2020 г.
75 000 $,2 комнаты,1190 $ за м²,21 из 22,год постройки2011,утепленная панель,63 / 31 / 12 м²,просп. Григоренко, 14,16 февраля
79 890 $,2 комнаты,1310 $ за м²,18 из 23,год постройки2012,монолитно-каркасные,61 / 40 / 17 м²,Днепровская наб., 19а,13 июля 2020 г.
185 000 $,2 комнаты,1869 $ за м²,9 из 25,*** not found,*** not found,99 / 39 / 25 м²,ул. Маланюка (Степана Сагайдака),3 февраля 2020 г.
59 500 $,1 комната,1293 $ за м²,10 из 10,год постройки2017,монолитно-каркасные,46 / 20 / 15 м²,ул. Малоземельная, 75а,4 февраля
58 000 $,2 комнаты,1289 $ за м²,6 из 9,год постройки1983,*** not found,45 / 27 / 6 м²,просп. Героев Сталинграда, 44,1 июня 2020 г.
60 000 $,1 комната,1333 $ за м²,14 из 20,год постройки2016,кирпичные,45 / 16 / 12 м²,ул. Бориспольская, 23а,11 января
52 000 $,2 комнаты,945 $ за м²,2 из 9,год постройки1984,утепленная панель,55 / 30 / 8 м²,просп. Маяковского, 53,15 октября 2020 г.
220 000 $,3 комнаты,2444 $ за м²,4 из 6,*** not found,*** not found,90 / 47 / 15 м²,ул. Саксаганского,16 октября 2019 г.
58 000 $,1 комната,1611 $ за м²,5 из 9,год постройки1966,панельные,36 / 18.5 / 5.1 м²,ул. Энтузиастов, 7/3,7 июля 2020 г.
